Gene,Protein class
GCM1,"Predicted intracellular proteins, Transcription factors"
GCM2,"Disease related genes, Predicted intracellular proteins, Transcription factors"
GCN1,"Plasma proteins, Predicted intracellular proteins"
GCNA,Predicted intracellular proteins
GCNT1,"Enzymes, Predicted intracellular proteins"
GCNT2,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
GCNT3,"Enzymes, Predicted membrane proteins"
GCNT4,"Enzymes, Predicted intracellular proteins"
GCNT7,Predicted intracellular proteins
GCSAM,Predicted intracellular proteins
GCSAML,Predicted intracellular proteins
GCSAML-AS1,"G-protein coupled receptors, Predicted membrane proteins"
GCSH,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
GDA,"Enzymes, Plasma proteins, Predicted intracellular proteins"
GDAP1,"Disease related genes, Predicted membrane proteins"
GDAP1L1,"Predicted intracellular proteins, Predicted membrane proteins"
GDAP2,Predicted intracellular proteins
GDE1,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
GDF1,"Disease related genes, Predicted secreted proteins"
GDF10,"Plasma proteins, Predicted secreted proteins"
GDF11,Predicted secreted proteins
GDF15,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
GDF2,"Disease related genes, Plasma proteins, Predicted secreted proteins"
GDF3,"Disease related genes, Predicted secreted proteins"
GDF5,"Disease related genes, Plasma proteins, Predicted secreted proteins"
GDF5OS,Predicted intracellular proteins
GDF6,"Disease related genes, Predicted secreted proteins"
GDF7,Predicted secreted proteins
GDF9,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"
GDI1,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
GDI2,"Plasma proteins, Predicted intracellular proteins"
GDNF,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"
GDPD1,"Enzymes, Predicted membrane proteins"
GDPD2,"Enzymes, Predicted membrane proteins"
GDPD3,"Predicted intracellular proteins, Predicted membrane proteins"
GDPD4,Predicted membrane proteins
GDPD5,Predicted membrane proteins
GDPGP1,"Enzymes, Predicted intracellular proteins"
GEM,Predicted intracellular proteins
GEMIN2,Predicted intracellular proteins
GEMIN4,"Plasma proteins, Predicted intracellular proteins"
GEMIN5,Predicted intracellular proteins
GEMIN6,Predicted intracellular proteins
GEMIN7,Predicted intracellular proteins
GEMIN8,Predicted intracellular proteins
GEN1,Predicted intracellular proteins
GET4,Predicted intracellular proteins
GFAP,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"
GFER,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
GFI1,"Disease related genes, Predicted intracellular proteins, Transcription factors"
GFI1B,"Disease related genes, Predicted intracellular proteins, Transcription factors"
GFM1,"Disease related genes, Predicted intracellular proteins"
GFM2,Predicted intracellular proteins
GFOD1,"Predicted intracellular proteins, Predicted secreted proteins"
GFOD2,"Predicted intracellular proteins, Predicted secreted proteins"
GFPT1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
GFPT2,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
GFRA1,Predicted membrane proteins
GFRA2,Predicted intracellular proteins
GFRA3,Predicted membrane proteins
GFRA4,Predicted intracellular proteins
GFRAL,Predicted membrane proteins
GFY,Predicted membrane proteins
GGA1,Predicted intracellular proteins
GGA2,Predicted intracellular proteins
GGA3,Predicted intracellular proteins
GGACT,"Enzymes, Predicted intracellular proteins"
GGCT,"Enzymes, Plasma proteins, Predicted intracellular proteins"
GGCX,"Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins"
GGH,"Enzymes, Plasma proteins, Predicted intracellular proteins"
GGN,Predicted intracellular proteins
GGNBP2,Predicted intracellular proteins
GGPS1,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
GGT1,"Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
GGT2,Predicted membrane proteins
GGT5,"Enzymes, Predicted intracellular proteins"
GGT6,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
GGT7,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
GGTLC1,Predicted intracellular proteins
GGTLC2,Predicted intracellular proteins
GGTLC3,Predicted intracellular proteins
GH1,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"
GH2,"Cancer-related genes, Predicted secreted proteins"
GHDC,"Plasma proteins, Predicted intracellular proteins"
GHITM,Predicted membrane proteins
GHR,"Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins"
GHRH,Predicted secreted proteins
GHRHR,"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
GHRL,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
GHSR,"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins, Transporters"
GID4,Predicted intracellular proteins
GID8,Predicted intracellular proteins
GIF,"Disease related genes, Predicted secreted proteins"
GIGYF1,Predicted intracellular proteins
GIGYF2,"Disease related genes, Predicted intracellular proteins"
GIMAP1,Predicted membrane proteins
GIMAP2,"Predicted intracellular proteins, Predicted membrane proteins"
GIMAP4,Predicted intracellular proteins
GIMAP5,Predicted membrane proteins
GIMAP6,Predicted intracellular proteins
GIMAP7,Predicted intracellular proteins
GIMAP8,Predicted intracellular proteins
GIMD1,Predicted intracellular proteins
GIN1,Predicted intracellular proteins
GINM1,"Predicted intracellular proteins, Predicted membrane proteins"
GINS1,Predicted intracellular proteins
GINS2,Predicted intracellular proteins
GINS3,Predicted intracellular proteins
GINS4,Predicted intracellular proteins
GIP,"Plasma proteins, Predicted secreted proteins"
GIPC1,Predicted intracellular proteins
GIPC2,Predicted intracellular proteins
GIPC3,"Disease related genes, Predicted intracellular proteins"
GIPR,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
GIT1,"Plasma proteins, Predicted intracellular proteins"
GIT2,"Plasma proteins, Predicted intracellular proteins"
GJA1,"Cancer-related genes, Disease related genes, Predicted membrane proteins"
GJA10,Predicted membrane proteins
GJA3,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
GJA4,"Predicted membrane proteins, Transporters"
GJA5,"Disease related genes, Predicted membrane proteins"
GJA8,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
GJA9,Predicted membrane proteins
GJB1,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
GJB2,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
GJB3,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
GJB4,"Disease related genes, Predicted membrane proteins"
GJB5,"Cancer-related genes, Predicted membrane proteins"
GJB6,"Disease related genes, Predicted membrane proteins"
GJB7,Predicted membrane proteins
GJC1,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
GJC2,"Disease related genes, Predicted membrane proteins"
GJC3,"Predicted membrane proteins, Transporters"
GJD2,"Predicted membrane proteins, Transporters"
GJD3,Predicted membrane proteins
GJD4,"Predicted membrane proteins, Transporters"
GJE1,Predicted membrane proteins
GK,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
GK2,"Enzymes, Plasma proteins, Predicted membrane proteins"
GK3P,"Enzymes, Predicted membrane proteins"
GK5,"Enzymes, Predicted intracellular proteins"
GKAP1,Predicted intracellular proteins
GKN1,"Plasma proteins, Predicted secreted proteins"
GKN2,Predicted secreted proteins
GLA,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
GLB1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
GLB1L,"Predicted intracellular proteins, Predicted secreted proteins"
GLB1L2,Predicted secreted proteins
GLB1L3,Predicted intracellular proteins
GLCCI1,"Predicted intracellular proteins, Predicted membrane proteins"
GLCE,"Enzymes, Plasma proteins, Predicted intracellular proteins"
GLDC,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
GLDN,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"
GLE1,"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
GLG1,"Predicted intracellular proteins, Predicted membrane proteins"
GLI1,"Predicted intracellular proteins, Transcription factors"
GLI2,"Disease related genes, Predicted intracellular proteins, Transcription factors"
GLI3,"Disease related genes, Predicted intracellular proteins, Transcription factors"
GLI4,"Predicted intracellular proteins, Transcription factors"
GLIPR1,"Predicted intracellular proteins, Predicted membrane proteins"
GLIPR1L1,"Predicted intracellular proteins, Predicted secreted proteins"
GLIPR1L2,"Predicted intracellular proteins, Predicted membrane proteins"
GLIPR2,"Plasma proteins, Predicted intracellular proteins"
GLIS1,"Predicted intracellular proteins, Transcription factors"
GLIS2,"Disease related genes, Predicted intracellular proteins, Transcription factors"
GLIS3,"Disease related genes, Predicted intracellular proteins, Transcription factors"
GLMN,"Disease related genes, Predicted intracellular proteins"
GLMP,"Predicted intracellular proteins, Predicted membrane proteins"
GLO1,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"
GLOD4,Predicted intracellular proteins
GLOD5,Predicted intracellular proteins
GLP1R,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"
GLP2R,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"
GLRA1,"Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters"
GLRA2,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
GLRA3,"FDA approved drug targets, Predicted membrane proteins, Transporters"
GLRA4,Predicted membrane proteins
GLRB,"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
GLRX,"Plasma proteins, Predicted intracellular proteins"
GLRX2,Predicted intracellular proteins
GLRX3,Predicted intracellular proteins
GLRX5,"Disease related genes, Predicted intracellular proteins"
GLS,"Enzymes, Predicted intracellular proteins"
GLS2,"Enzymes, Predicted intracellular proteins"
GLT1D1,"Predicted intracellular proteins, Predicted secreted proteins"
GLT6D1,Predicted intracellular proteins
GLT8D1,"Predicted intracellular proteins, Predicted membrane proteins"
GLT8D2,Predicted intracellular proteins
GLTP,Predicted intracellular proteins
GLTPD2,Predicted secreted proteins
GLUD1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
GLUD2,"Enzymes, Predicted intracellular proteins"
GLUL,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
GLYAT,"Enzymes, Predicted intracellular proteins"
GLYATL1,"Enzymes, Predicted intracellular proteins"
GLYATL2,"Enzymes, Predicted intracellular proteins"
GLYATL3,Predicted intracellular proteins
